,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaré,0,0,0,0,4,3,0,4,0,0
1,Adustina,0,0,0,0,0,0,0,1,0,0
2,Aiquara,0,0,1,0,0,4,2,7,0,2
3,Alagoinhas,0,0,2,1,0,3,10,0,1,0
4,Alcobaça,0,2,5,6,5,29,41,18,19,2
5,Almadina,0,9,9,16,23,65,84,71,58,22
6,Amargosa,0,0,2,3,3,11,5,1,3,0
7,Amélia Rodrigues,0,0,1,0,0,14,4,4,7,0
8,América Dourada,2,12,20,20,14,48,35,8,0,0
9,Andaraí,2,0,2,0,0,2,5,0,2,0
10,Andorinha,2,0,6,8,5,18,27,23,4,2
11,Anguera,0,0,4,16,8,21,20,12,15,0
12,Antas,10,12,5,21,28,66,86,72,65,31
13,Antônio Gonçalves,0,6,8,10,7,42,36,13,7,12
14,Aporá,0,2,0,2,2,12,4,8,4,2
15,Apuarema,0,0,0,0,0,0,4,0,0,0
16,Araci,0,0,0,4,2,4,0,2,9,0
17,Arataca,0,0,0,0,1,1,3,2,0,0
18,Aratuípe,0,0,0,0,0,2,0,0,0,0
19,Aurelino Leal,0,0,0,0,0,0,0,0,2,0
20,Baianópolis,0,0,0,0,0,0,1,0,0,0
21,Baixa Grande,5,2,12,11,26,50,63,37,14,5
22,Banzaê,0,2,0,2,8,26,32,14,8,0
23,Barra,4,1,0,2,2,11,4,5,4,0
24,Barra da Estiva,0,0,0,0,0,2,6,0,0,0
25,Barra do Rocha,0,0,0,3,0,1,4,0,0,0
26,Barreiras,0,3,1,0,5,24,28,16,2,0
27,Barro Preto,1,3,20,12,7,54,76,71,40,13
28,Barrocas,0,0,0,1,0,1,0,1,0,0
29,Belmonte,1,0,0,0,3,5,1,6,1,0
30,Boa Nova,0,0,0,0,0,0,2,0,0,0
31,Boa Vista do Tupim,6,2,12,22,41,56,91,58,36,12
32,Bom Jesus da Lapa,0,2,0,0,2,3,5,2,4,2
33,Bom Jesus da Serra,0,0,2,0,0,2,2,0,0,0
34,Boninal,0,0,2,0,2,0,0,2,0,0
35,Bonito,0,2,0,0,6,4,0,0,0,0
36,Boquira,0,0,0,0,0,0,2,0,0,2
37,Botuporã,0,0,1,2,0,6,6,0,2,0
38,Brejões,0,0,0,1,0,0,0,0,0,0
39,Brotas de Macaúbas,0,2,0,1,2,10,21,6,0,0
40,Brumado,2,0,4,0,1,5,10,7,0,0
41,Buerarema,15,28,40,44,76,162,201,215,123,60
42,Buritirama,0,0,0,0,0,0,0,2,0,0
43,Caatiba,2,0,0,0,0,1,4,4,0,0
44,Cabaceiras do Paraguaçu,0,0,0,0,0,0,2,0,0,0
