,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaré,0,0,1,0
1,Adustina,0,0,0,2
2,Aiquara,0,0,0,2
3,Alagoinhas,0,0,0,2
4,Alcobaça,0,0,116,194
5,Amargosa,0,0,0,3
6,Amélia Rodrigues,0,0,1,0
7,América Dourada,0,0,0,1
8,Andorinha,0,0,0,1
9,Angical,0,0,1,2
10,Antônio Cardoso,0,0,0,1
11,Araci,0,0,2,2
12,Arataca,0,0,1,0
13,Baixa Grande,0,0,55,79
14,Banzaê,0,0,0,1
15,Barra,0,0,1,1
16,Barra do Choça,0,0,0,2
17,Barra do Mendes,0,0,0,2
18,Barreiras,0,0,16,58
19,Barro Preto,0,0,6,1
20,Belmonte,0,0,6,17
21,Boa Vista do Tupim,0,0,0,3
22,Bom Jesus da Lapa,0,0,2,1
23,Boquira,0,0,2,2
24,Botuporã,0,0,4,4
25,Brotas de Macaúbas,0,0,2,0
26,Brumado,0,0,2,2
27,Buerarema,0,0,3,5
28,Buritirama,0,0,1,0
29,Caatiba,0,0,1,2
30,Caém,0,0,1,3
31,Caetité,0,0,1,2
32,Cafarnaum,0,0,0,3
33,Caldeirão Grande,0,0,0,1
34,Camacan,0,0,0,4
35,Camaçari,0,1,14,25
36,Campo Alegre de Lourdes,0,0,0,1
37,Campo Formoso,0,0,1,3
38,Canarana,0,0,1,1
39,Canavieiras,0,0,6,13
40,Candeal,0,0,0,1
41,Candeias,0,0,6,5
42,Cândido Sales,0,0,38,67
43,Cansanção,0,0,4,2
44,Capim Grosso,0,0,0,1
45,Caravelas,0,0,74,81
46,Casa Nova,0,0,2,2
47,Catu,0,0,1,0
48,Coaraci,0,0,9,18
49,Conceição do Almeida,0,0,1,0
50,Conde,0,0,7,16
51,Condeúba,0,0,1,0
52,Coração de Maria,0,0,1,0
53,Coronel João Sá,0,0,1,1
54,Cruz das Almas,0,0,0,2
55,Curaçá,0,0,1,1
56,Dias d'Ávila,0,0,10,15
57,Encruzilhada,0,0,1,1
58,Entre Rios,0,0,1,0
59,Érico Cardoso,0,0,1,0
60,Euclides da Cunha,0,0,1,2
61,Eunápolis,0,0,930,1205
62,Feira de Santana,0,0,73,203
63,Filadélfia,0,0,1,1
64,Floresta Azul,0,0,1,1
65,Formosa do Rio Preto,0,0,1,0
66,Gandu,0,0,0,2
67,Glória,0,0,5,0
68,Gongogi,0,2,56,111
69,Guanambi,0,0,0,2
70,Guaratinga,0,0,4,3
71,Heliópolis,0,0,0,1
72,Iaçu,0,0,0,1
73,Ibicaraí,0,0,1,4
74,Ibicoara,0,0,0,1
75,Ibicuí,0,0,0,1
76,Ibipitanga,0,0,0,1
77,Ibirapitanga,0,0,3,4
78,Ibirapuã,0,0,83,120
79,Ibotirama,0,0,0,2
80,Ilhéus,0,0,27,31
81,Inhambupe,0,0,0,1
82,Ipecaetá,0,2,63,111
83,Ipiaú,0,0,3,3
84,Ipirá,0,0,1,1
85,Ipupiara,0,0,1,2
86,Iraquara,0,0,1,7
87,Irecê,0,0,1,3
88,Itabela,0,0,26,49
