,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaíra,0,0,0,0,1,0,0,0,0,0,0,0
1,Abaré,1,0,0,0,0,0,0,0,0,0,0,0
2,Adustina,1,0,0,0,0,0,0,0,0,1,0,0
3,Alagoinhas,3,0,0,0,0,0,0,1,0,0,0,0
4,Alcobaça,0,0,0,0,0,0,0,0,1,0,0,0
5,Almadina,0,0,1,0,0,0,0,0,0,0,0,0
6,América Dourada,0,0,1,1,0,0,0,0,0,0,0,0
7,Anagé,0,1,0,0,0,0,0,0,0,0,0,0
8,Andaraí,0,1,0,0,1,0,0,0,0,0,0,0
9,Anguera,0,0,0,0,0,0,0,0,0,0,1,0
10,Antas,0,0,0,0,0,0,0,1,0,0,0,0
11,Arataca,0,1,0,0,1,0,0,0,0,0,0,0
12,Baixa Grande,0,0,0,0,2,6,0,1,1,0,1,0
13,Barra,0,0,0,2,0,0,0,0,0,0,0,1
14,Barra da Estiva,0,0,0,0,0,0,0,0,0,0,1,0
15,Barra do Rocha,0,0,0,1,0,0,0,0,0,0,0,0
16,Barreiras,2,4,2,25,82,75,22,5,2,4,3,1
17,Barro Preto,0,3,0,0,0,0,0,0,0,0,0,0
18,Barrocas,0,0,0,0,0,0,1,0,0,0,0,0
19,Belmonte,0,0,0,0,0,0,1,0,0,0,0,0
20,Belo Campo,0,2,0,0,0,1,0,0,0,0,0,0
21,Bom Jesus da Lapa,0,1,7,0,0,0,1,0,0,0,0,0
22,Boquira,0,1,0,0,1,0,0,0,0,0,1,0
23,Botuporã,1,4,2,2,1,0,1,0,0,0,0,1
24,Brotas de Macaúbas,0,0,0,0,0,0,0,0,0,0,2,0
25,Brumado,1,0,2,0,0,0,0,0,0,1,1,0
26,Buerarema,2,0,0,1,0,1,0,0,0,0,0,0
27,Cachoeira,0,0,1,0,0,0,0,0,0,0,0,0
28,Caém,0,0,0,0,0,5,0,0,0,0,0,0
29,Caetité,0,0,1,0,0,0,0,0,0,0,0,0
30,Cafarnaum,0,0,2,0,0,0,0,0,0,0,0,0
31,Camacan,1,0,0,1,0,0,0,0,0,0,0,0
32,Camaçari,4,3,3,1,1,3,0,1,0,5,8,6
33,Campo Alegre de Lourdes,0,0,0,0,0,0,0,1,0,0,0,0
34,Campo Formoso,0,1,0,1,1,0,0,0,0,0,0,0
35,Canarana,0,0,1,0,0,0,0,0,0,0,0,0
36,Canavieiras,0,0,1,0,0,1,0,2,0,0,0,0
37,Candeias,1,1,4,5,0,0,0,0,0,0,0,2
38,Cândido Sales,3,1,1,1,1,0,0,0,0,0,0,0
39,Capela do Alto Alegre,0,0,0,0,3,0,0,0,0,0,0,0
40,Capim Grosso,1,0,0,0,0,0,0,2,3,1,0,0
41,Caravelas,1,1,1,2,4,0,0,0,0,0,0,0
42,Catu,0,0,0,0,0,0,1,0,0,0,0,0
43,Coaraci,2,0,4,7,6,1,0,0,0,0,0,0
44,Conceição da Feira,0,1,0,0,0,0,0,1,0,0,0,0
45,Conceição do Coité,0,0,0,0,0,0,0,0,0,1,0,0
46,Conde,0,0,0,2,0,0,0,0,0,0,0,0
47,Condeúba,0,0,1,0,1,0,0,0,0,0,1,0
48,Cotegipe,0,0,0,0,0,1,0,0,0,0,0,0
49,Cristópolis,0,0,0,0,0,1,0,0,0,0,0,0
50,Cruz das Almas,0,1,0,0,0,0,0,0,0,0,0,0
51,Curaçá,0,0,0,0,1,0,0,0,0,0,0,0
52,Dias d'Ávila,2,2,0,0,2,2,2,1,1,2,0,0
53,Euclides da Cunha,0,0,1,0,0,0,0,0,0,0,0,0
54,Eunápolis,49,2,2,13,14,25,21,4,0,1,0,1
55,Feira de Santana,20,11,9,7,12,20,17,39,28,10,25,19
56,Filadélfia,0,0,0,0,0,0,1,0,0,0,0,0
57,Floresta Azul,0,0,0,0,0,0,0,0,0,1,0,0
58,Gandu,1,0,1,0,0,0,0,0,0,0,0,0
59,Gavião,0,0,0,0,0,2,0,0,0,0,0,0
60,Gongogi,0,0,0,0,0,0,1,0,0,0,0,0
61,Governador Mangabeira,0,0,0,0,1,1,0,0,0,0,0,0
62,Guajeru,28,44,19,8,0,0,0,0,0,0,0,0
63,Guanambi,0,1,0,1,0,1,0,0,1,0,0,0
64,Ibiassucê,1,0,0,0,0,0,0,0,0,0,1,0
65,Ibicaraí,0,0,1,0,0,0,0,0,0,0,0,0
66,Ilhéus,1,2,2,2,1,0,1,4,1,2,0,0
67,Inhambupe,0,0,0,1,0,0,0,0,0,0,0,0
68,Ipecaetá,0,0,0,0,0,0,0,1,0,0,1,3
69,Ipiaú,0,1,0,1,0,0,0,0,0,1,0,0
70,Ipirá,0,0,0,0,0,0,0,0,0,0,0,2
71,Iraquara,2,3,2,1,0,0,0,0,0,0,0,0
72,Irará,0,1,0,0,0,0,1,0,0,1,1,0
73,Irecê,0,0,1,1,0,0,0,0,0,0,0,0
74,Itabela,8,1,0,0,0,0,4,1,2,3,0,0
75,Itaberaba,2,3,0,0,1,3,0,1,0,0,0,0
76,Itabuna,114,73,96,47,51,17,10,14,8,14,5,2
77,Itacaré,0,0,1,0,0,0,1,1,0,0,0,0
78,Itagi,0,0,0,0,1,0,0,0,0,0,0,0
79,Itagimirim,1,0,0,0,0,0,1,0,0,0,0,0
80,Itajuípe,2,4,1,3,1,1,1,0,0,0,0,2
81,Itamaraju,2,2,10,5,0,0,1,2,0,1,0,0
82,Itaparica,2,0,1,0,1,0,0,0,0,0,0,0
83,Itapé,1,1,0,1,0,0,0,0,0,0,0,0
84,Itapebi,0,0,1,1,0,0,1,0,0,0,0,0
85,Itapetinga,1,2,0,1,1,0,0,0,0,1,0,0
86,Itarantim,4,8,5,0,1,4,0,0,0,0,0,0
87,Itatim,0,0,0,0,0,0,0,0,0,0,3,0
88,Itiúba,0,0,1,1,0,0,0,0,0,0,0,0
89,Itororó,1,0,0,1,2,2,1,0,1,0,0,0
90,Ituaçu,2,0,0,0,0,0,0,0,0,0,0,0
91,Iuiú,1,0,0,0,0,0,0,0,0,0,0,0
92,Jacobina,1,0,3,1,2,0,1,0,1,1,0,2
93,Jaguaquara,0,0,2,0,0,0,1,0,0,0,1,1
94,Jaguarari,4,5,0,1,1,0,0,1,0,0,1,0
95,Jequié,6,0,0,3,4,4,1,3,0,0,0,0
96,Jiquiriçá,0,0,1,0,0,0,0,0,0,0,0,0
97,João Dourado,0,0,1,0,0,0,0,0,0,0,0,0
98,Juazeiro,0,1,3,2,1,0,1,1,0,2,0,0
99,Jussari,0,0,2,0,0,0,0,0,0,0,0,0
100,Lauro de Freitas,0,0,0,0,2,0,2,0,1,0,0,1
101,Luís Eduardo Magalhães,0,0,1,2,4,7,2,1,0,0,0,0
102,Macaúbas,9,3,0,0,0,0,0,0,0,0,0,0
103,Madre de Deus,0,0,1,0,1,0,0,0,0,0,0,0
104,Maiquinique,0,1,0,1,5,6,2,0,0,0,0,0
105,Malhada,0,0,0,0,0,1,2,0,0,0,0,0
106,Malhada de Pedras,0,1,1,0,0,0,0,0,0,0,0,0
107,Manoel Vitorino,0,0,0,1,0,0,1,0,0,0,0,0
108,Maracás,0,0,0,0,1,0,0,1,0,0,0,0
109,Marcionílio Souza,1,0,0,0,0,0,0,0,0,0,0,0
110,Mascote,1,0,0,0,0,0,0,0,0,0,0,0
111,Morro do Chapéu,1,0,0,0,0,0,0,0,0,0,0,0
112,Mucuri,2,4,0,1,0,0,0,0,0,0,0,0
113,Muniz Ferreira,1,0,0,0,0,0,0,0,0,0,0,0
114,Muritiba,1,0,0,0,0,0,0,0,0,0,0,1
115,Mutuípe,0,0,0,3,0,0,1,0,0,0,0,0
116,Nova Fátima,6,13,5,17,11,11,5,3,3,2,3,6
117,Nova Itarana,0,0,1,0,1,0,0,0,0,0,0,0
118,Nova Viçosa,21,3,1,2,1,1,0,0,1,0,0,0
119,Novo Horizonte,0,0,0,0,0,0,0,1,0,0,0,0
120,Oliveira dos Brejinhos,0,0,1,0,0,0,0,0,0,0,0,0
121,Ourolândia,0,1,0,0,0,0,0,0,0,0,0,0
122,Palmeiras,0,1,0,2,0,0,0,0,0,0,0,0
123,Paramirim,0,1,0,0,0,0,0,0,0,0,0,0
124,Paratinga,0,0,0,0,0,0,0,1,0,0,0,0
125,Paulo Afonso,1,0,0,1,0,0,0,1,0,0,0,0
126,Pé de Serra,0,0,0,0,0,1,0,0,0,2,0,0
127,Pindobaçu,0,0,1,0,0,0,0,0,1,0,0,0
128,Poções,1,0,0,0,0,0,0,0,0,0,0,0
129,Pojuca,0,0,0,0,1,0,0,0,0,0,0,0
130,Ponto Novo,1,0,0,0,0,0,0,0,0,0,0,0
131,Porto Seguro,64,30,11,22,34,37,13,9,3,0,2,2
132,Prado,0,1,0,0,0,2,0,0,0,0,0,0
133,Presidente Dutra,0,1,0,0,0,0,0,0,1,0,0,0
134,Presidente Jânio Quadros,0,0,0,0,0,0,0,0,0,0,0,1
135,Presidente Tancredo Neves,0,1,0,1,0,0,0,1,0,0,0,0
136,Quijingue,1,0,0,0,0,0,0,0,0,0,0,0
137,Rafael Jambeiro,1,0,0,0,0,0,0,1,0,0,0,0
138,Remanso,1,0,1,3,1,0,0,0,0,2,0,0
139,Retirolândia,0,0,0,0,1,0,3,0,0,0,0,1
140,Riachão das Neves,0,0,0,0,1,0,0,0,0,0,0,0
141,Riachão do Jacuípe,16,17,31,37,40,47,28,16,5,2,1,3
142,Ribeira do Amparo,0,0,1,0,0,0,0,0,0,0,0,0
143,Ribeira do Pombal,0,1,0,0,0,0,2,7,0,1,0,11
144,Rio Real,0,2,0,0,1,0,0,0,0,1,0,0
145,Salvador,48,31,30,25,31,19,61,30,12,12,41,19
146,Santa Bárbara,0,3,4,5,1,9,6,1,1,1,1,0
147,Santa Cruz Cabrália,0,0,0,0,0,0,0,1,1,0,0,2
148,Santa Inês,1,0,0,0,0,0,0,0,0,0,0,0
149,Santa Luzia,4,1,2,0,1,0,0,0,0,0,0,0
150,Santaluz,3,0,0,0,0,1,1,0,0,0,0,0
151,Santo Antônio de Jesus,1,0,1,1,0,0,2,0,0,0,0,0
152,São Domingos,1,0,0,0,4,0,0,0,0,0,0,0
153,São Félix do Coribe,0,0,1,0,0,0,0,0,0,0,0,0
154,São Francisco do Conde,0,1,0,0,0,0,0,1,0,0,0,0
155,São Gonçalo dos Campos,0,0,0,0,0,0,0,0,1,0,0,0
156,São José da Vitória,3,0,0,0,0,0,0,0,0,0,0,0
157,Saúde,0,0,0,3,5,7,1,0,0,0,0,0
158,Seabra,0,0,0,0,1,0,1,0,0,0,0,0
159,Senhor do Bonfim,0,1,4,0,1,0,0,1,2,0,0,0
160,Sento Sé,0,0,1,0,0,0,0,0,0,0,0,0
161,Serra Preta,0,0,1,0,0,0,0,0,0,0,0,0
162,Serrinha,2,1,3,0,0,0,1,0,0,1,0,1
163,Serrolândia,0,0,0,0,0,1,0,0,2,0,0,0
164,Simões Filho,16,7,8,13,13,11,10,3,0,4,0,2
165,Souto Soares,0,0,1,0,0,0,0,0,0,0,0,0
166,Tanhaçu,0,0,0,0,0,0,0,0,0,0,1,0
167,Tanquinho,0,0,0,4,2,4,2,0,0,0,0,0
168,Teixeira de Freitas,54,13,2,0,0,0,1,0,1,1,2,1
169,Teolândia,0,0,0,0,0,0,0,0,2,0,0,0
