,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaíra,0,0,0,0,0,0,0,0,0,0,0,1
1,Abaré,0,1,0,0,1,0,0,1,0,0,0,1
2,Acajutiba,1,0,1,2,4,7,6,4,0,0,1,2
3,Adustina,6,5,28,16,7,9,8,5,6,16,6,7
4,Água Fria,0,1,0,0,4,1,1,0,2,2,2,1
5,Aiquara,4,1,1,1,1,0,0,1,0,0,3,3
6,Alagoinhas,5,6,32,56,20,17,7,1,2,1,3,4
7,Alcobaça,0,2,1,3,5,3,3,1,4,4,0,1
8,Almadina,0,0,0,0,0,0,0,2,0,0,0,0
9,Amargosa,3,1,9,12,2,0,1,0,1,0,0,0
10,Amélia Rodrigues,2,2,2,1,5,5,2,1,2,1,0,1
11,América Dourada,3,6,20,29,14,3,0,0,6,5,2,1
12,Anagé,0,0,0,1,2,0,0,0,0,0,1,4
13,Andaraí,1,6,4,5,3,0,2,0,2,3,1,0
14,Andorinha,0,1,0,4,2,1,0,2,0,2,0,0
15,Angical,15,11,10,14,15,12,2,2,0,0,3,0
16,Anguera,1,4,3,3,12,1,4,0,3,0,1,1
17,Antas,0,1,1,4,3,2,3,1,0,0,4,1
18,Antônio Cardoso,1,7,27,14,0,0,0,1,0,1,0,0
19,Antônio Gonçalves,0,3,15,6,2,1,1,2,0,0,0,0
20,Aporá,0,0,4,1,2,0,0,1,0,0,0,0
21,Apuarema,3,1,24,25,13,4,0,1,0,2,2,2
22,Araças,0,1,6,18,13,7,3,0,1,2,0,1
23,Aracatu,3,0,0,2,1,0,1,0,0,0,0,2
24,Araci,2,1,9,5,9,2,4,2,4,4,2,3
25,Arataca,0,1,0,3,0,0,0,3,1,0,0,0
26,Aurelino Leal,0,0,0,0,1,0,1,0,0,0,0,0
27,Baianópolis,2,14,7,8,6,0,0,0,0,0,0,0
28,Baixa Grande,49,70,84,79,31,4,1,1,0,1,0,0
29,Banzaê,0,1,8,4,2,0,1,0,0,0,1,0
30,Barra,7,2,5,4,30,25,13,7,0,0,2,3
31,Barra da Estiva,0,1,5,1,0,0,0,0,0,0,0,0
32,Barra do Choça,0,0,0,2,3,1,1,0,0,1,6,5
33,Barra do Mendes,23,12,53,38,51,18,6,0,2,0,2,2
34,Barra do Rocha,1,0,2,3,3,0,0,3,0,0,2,0
35,Barreiras,616,1004,731,568,286,102,38,3,12,21,68,111
36,Barro Alto,1,0,0,1,4,0,0,0,0,0,0,0
37,Barro Preto,0,0,1,1,1,0,0,0,0,0,0,1
38,Barrocas,0,4,2,33,27,2,1,0,0,0,0,0
39,Belmonte,0,0,1,0,0,2,2,0,0,1,0,0
40,Belo Campo,1,6,6,15,5,1,0,0,0,0,0,0
41,Biritinga,0,0,0,10,7,0,0,0,0,0,0,0
42,Boa Nova,0,1,7,7,24,30,25,7,1,1,1,0
43,Boa Vista do Tupim,4,35,12,1,5,0,0,0,1,0,0,0
44,Bom Jesus da Lapa,10,31,60,376,173,30,15,19,10,16,6,3
45,Bom Jesus da Serra,0,0,1,0,1,0,0,0,0,0,0,0
46,Boninal,0,0,0,0,4,2,1,0,0,0,0,0
47,Bonito,1,0,3,4,6,4,0,0,0,0,0,0
